Time (s),Binding (nm)
0.0,0.0
0.2,0.002272
0.4,0.00221
0.6,0.003303
0.8,0.0047
1.0,0.006257
1.2,0.007509
1.4,0.008072
1.6,0.0088
1.8,0.008829
2.0,0.008034
2.2,0.007769
2.4,0.00792
2.6,0.007663
2.8,0.006967
3.0,0.007996
3.2,0.007808
3.4,0.008807
3.6,0.009656
3.8,0.010843
4.0,0.012521
4.2,0.012715
4.4,0.01351
4.6,0.014515
4.8,0.014859
5.0,0.014694
5.2,0.016339
5.4,0.015012
5.6,0.01517
5.8,0.014993
6.0,0.014663
6.2,0.014751
6.4,0.016246
6.6,0.016099
6.8,0.016805
7.0,0.017534
7.2,0.017065
7.4,0.017034
7.6,0.016852
7.8,0.017504
8.0,0.017193
8.2,0.018432
8.4,0.0190715
8.6,0.0200631
8.8,0.0197522
9.0,0.0201423
9.2,0.0202217
9.4,0.020662
9.6,0.0199477
9.8,0.0209427
10.0,0.021194
10.2,0.0202013
10.4,0.0202637
10.6,0.0211166
10.8,0.0211442
11.0,0.0209477
11.2,0.0218645
11.4,0.0214104
11.6,0.0223734
11.8,0.0232921
12.0,0.0240296
12.2,0.0250512
12.4,0.0258587
12.6,0.026015
12.8,0.025735
13.0,0.0253739
13.2,0.0254691
13.4,0.0254388
13.6,0.0252226
13.8,0.0252306
14.0,0.0258091
14.2,0.0261067
14.4,0.025951
14.6,0.025442
14.8,0.0259175
15.0,0.025646
15.2,0.0253767
15.4,0.0262955
15.6,0.0271153
15.8,0.0270381
16.0,0.0279981
16.2,0.0270097
16.4,0.0258934
16.6,0.0252468
16.8,0.0249772
17.0,0.0237062
17.2,0.0242941
17.4,0.0246829
17.6,0.0249531
17.8,0.025523
18.0,0.0264236
18.2,0.0264949
18.4,0.0258989
18.6,0.0264107
18.8,0.0253902
19.0,0.0257885
19.2,0.0266836
19.4,0.0283646
19.6,0.0292198
19.8,0.0301415
20.0,0.0302243
20.2,0.0301558
20.4,0.0306051
20.6,0.0297005
20.8,0.0292712
21.0,0.0293222
21.2,0.0293714
21.4,0.0290546
21.6,0.0287623
21.8,0.0290149
22.0,0.0284322
22.2,0.029015
22.4,0.0288565
22.6,0.0295714
22.8,0.0309241
23.0,0.0317431
23.2,0.0300597
23.4,0.0302733
23.6,0.03064
23.8,0.0293623
24.0,0.0287262
24.2,0.0300007
24.4,0.0302422
24.6,0.0290091
24.8,0.0292542
25.0,0.0308863
25.2,0.0307514
25.4,0.0302153
25.6,0.0308635
25.8,0.0310554
26.0,0.0298892
26.2,0.0308595
26.4,0.0311773
26.6,0.0309657
26.8,0.030974
27.0,0.0304579
27.2,0.0307412
27.4,0.0314229
27.6,0.032044
27.8,0.0323735
28.0,0.0329225
28.2,0.0325326
28.4,0.0320725
28.6,0.0322335
28.8,0.0319495
29.0,0.0326699
29.2,0.0316041
