Time (s),Binding (nm)
0.0,0.0
0.2,0.0133737
0.4,0.0200132
0.6,0.0212317
0.8,0.0341433
1.0,0.0324938
1.2,0.0316477
1.4,0.0317943
1.6,0.0331824
1.8,0.0336205
2.0,0.0353972
2.2,0.035862
2.4,0.0354052
2.6,0.0348971
2.8,0.0363018
3.0,0.0375578
3.2,0.0378522
3.4,0.0388842
3.6,0.0398843
3.8,0.0393098
4.0,0.0382686
4.2,0.0392207
4.4,0.0387508
4.6,0.03836
4.8,0.0386442
5.0,0.0388691
5.2,0.0381458
5.4,0.0389877
5.6,0.038405
5.8,0.0386598
6.0,0.0396452
6.2,0.0405876
6.4,0.0405694
6.6,0.0418757
6.8,0.04148
7.0,0.04026
7.2,0.039894
7.4,0.0399955
7.6,0.0403245
7.8,0.0415597
8.0,0.0425143
8.2,0.0426665
8.4,0.0420998
8.6,0.0417117
8.8,0.040037
9.0,0.0398942
9.2,0.040256
9.4,0.0416491
9.6,0.0414819
9.8,0.0424503
10.0,0.0425893
10.2,0.0423672
10.4,0.0417415
10.6,0.041873
10.8,0.0432344
11.0,0.0429067
11.2,0.0441606
11.4,0.0439498
11.6,0.0448667
11.8,0.0429198
12.0,0.0434564
12.2,0.0420524
12.4,0.0422774
12.6,0.0413178
12.8,0.0431204
13.0,0.0426542
13.2,0.0440864
13.4,0.044407
13.6,0.0449374
13.8,0.0441561
14.0,0.0448481
14.2,0.0446304
14.4,0.0448236
14.6,0.0453918
14.8,0.0455928
15.0,0.0454679
15.2,0.0447205
15.4,0.0447704
15.6,0.0436943
15.8,0.0434006
16.0,0.0437852
16.2,0.0445678
16.4,0.0447439
16.6,0.0456204
16.8,0.0457241
17.0,0.0456081
17.2,0.0448714
17.4,0.0446777
17.6,0.0446954
17.8,0.0451024
18.0,0.0453912
18.2,0.0456277
18.4,0.0456328
18.6,0.045546
18.8,0.0451065
19.0,0.0452564
19.2,0.045824
19.4,0.0447425
19.6,0.0450204
19.8,0.044771
20.0,0.0439228
20.2,0.0438087
20.4,0.0458017
20.6,0.0450949
20.8,0.0457494
21.0,0.0466813
21.2,0.0475353
21.4,0.0464154
21.6,0.0468674
21.8,0.0469254
22.0,0.0457299
22.2,0.0451649
22.4,0.0459104
22.6,0.0459441
22.8,0.0469217
23.0,0.0482478
23.2,0.0477805
23.4,0.0487762
23.6,0.0487184
23.8,0.0474733
24.0,0.0472981
24.2,0.047383
24.4,0.0456724
24.6,0.0456431
24.8,0.0458354
25.0,0.0449413
25.2,0.0454451
25.4,0.0454008
25.6,0.0447569
25.8,0.0448584
26.0,0.0467957
26.2,0.0458561
26.4,0.0465216
26.6,0.0480882
26.8,0.0481262
27.0,0.0466952
27.2,0.0485791
27.4,0.0484916
27.6,0.0478387
27.8,0.0478212
28.0,0.0477051
28.2,0.0473429
28.4,0.0475434
28.6,0.0485629
28.8,0.0487438
29.0,0.0487305
29.2,0.0472086
29.4,0.0474306
29.6,0.0466547
29.8,0.0458498
30.0,0.045769
30.2,0.048192
30.4,0.0478908
30.6,0.0480216
30.8,0.0473849
31.0,0.0481561
31.2,0.0465357
31.4,0.0468915
31.6,0.0468569
31.8,0.0488833
32.0,0.0491761
32.2,0.0497346
32.4,0.0497188
32.6,0.0500365
32.8,0.0498271
33.0,0.0495479
33.2,0.0486711
33.4,0.0491073
33.6,0.048172
33.8,0.0471032
34.0,0.0479579
34.2,0.0482008
34.4,0.0473848
34.6,0.0482214
34.8,0.0485976
35.0,0.0479001
35.2,0.0488714
35.4,0.0493348
35.6,0.0489618
35.8,0.0503683
36.0,0.0505177
36.2,0.0494952
36.4,0.0493833
36.6,0.0497126
36.8,0.0488915
37.0,0.0484965
