Time (s),Binding (nm)
0.0,0.0
0.2,-0.001749
0.4,-0.004598
0.6,0.000499
0.8,0.001881
1.0,0.001754
1.2,0.002555
1.4,0.004881
1.6,0.00481
1.8,0.004616
2.0,0.005194
2.2,0.006025
2.4,0.005911
2.6,0.006317
2.8,0.007098
3.0,0.009228
3.2,0.0091
3.4,0.010003
3.6,0.010997
3.8,0.010476
4.0,0.009564
4.2,0.009881
4.4,0.010621
4.6,0.011302
4.8,0.012481
5.0,0.012811
5.2,0.014249
5.4,0.014146
5.6,0.01345
5.8,0.014239
6.0,0.01559
6.2,0.015468
6.4,0.015161
6.6,0.016796
6.8,0.01701
7.0,0.016431
7.2,0.017676
7.4,0.018702
7.6,0.018692
7.8,0.019008
8.0,0.019716
8.2,0.018652
8.4,0.01973
8.6,0.019193
8.8,0.018672
9.0,0.019432
9.2,0.019601
9.4,0.019463
9.6,0.021126
9.8,0.023054
10.0,0.023158
10.2,0.025046
10.4,0.025424
10.6,0.024279
10.8,0.023414
11.0,0.023049
11.2,0.02312
11.4,0.023335
11.6,0.024762
11.8,0.025292
12.0,0.025074
12.2,0.024359
12.4,0.02431
12.6,0.023909
12.8,0.024695
13.0,0.026063
13.2,0.026136
13.4,0.025994
13.6,0.025789
13.8,0.024792
14.0,0.023534
14.2,0.024328
14.4,0.024631
14.6,0.026139
14.8,0.026287
15.0,0.028589
15.2,0.029525
15.4,0.030223
15.6,0.028519
15.8,0.03022
16.0,0.030237
16.2,0.028819
16.4,0.027658
16.6,0.029412
16.8,0.029532
17.0,0.02984
17.2,0.030518
17.4,0.031168
17.6,0.030854
17.8,0.029463
18.0,0.028525
18.2,0.02916
18.4,0.028774
18.6,0.030163
18.8,0.030138
19.0,0.030048
19.2,0.031978
19.4,0.032847
19.6,0.03141
19.8,0.032962
20.0,0.033231
20.2,0.031886
20.4,0.031959
20.6,0.033594
20.8,0.033789
21.0,0.033636
21.2,0.034049
21.4,0.03447
21.6,0.032594
21.8,0.032465
22.0,0.03311
22.2,0.033494
22.4,0.034569
22.6,0.035525
22.8,0.035791
23.0,0.036629
23.2,0.035868
23.4,0.035558
23.6,0.036012
23.8,0.03542
24.0,0.034964
24.2,0.035496
24.4,0.034944
24.6,0.035158
24.8,0.036058
25.0,0.036135
25.2,0.03681
25.4,0.037337
25.6,0.037564
25.8,0.036981
26.0,0.037582
26.2,0.03746
26.4,0.036864
26.6,0.036061
26.8,0.036026
27.0,0.035722
27.2,0.035357
27.4,0.036377
27.6,0.037377
27.8,0.037709
28.0,0.037513
28.2,0.03798
28.4,0.03834
28.6,0.038581
28.8,0.039295
29.0,0.039992
29.2,0.040624
29.4,0.039873
29.6,0.040068
29.8,0.039859
30.0,0.040071
30.2,0.039994
30.4,0.040935
30.6,0.040891
30.8,0.041325
31.0,0.04156
31.2,0.041566
31.4,0.041715
31.6,0.041851
31.8,0.041571
32.0,0.04105
32.2,0.040116
32.4,0.039948
32.6,0.039372
32.8,0.038909
33.0,0.039196
33.2,0.039436
33.4,0.039266
33.6,0.039984
33.8,0.040285
34.0,0.041342
34.2,0.042818
34.4,0.042855
34.6,0.043385
34.8,0.044032
35.0,0.043356
35.2,0.042719
35.4,0.043965
35.6,0.042792
35.8,0.043993
36.0,0.044025
36.2,0.044359
36.4,0.042959
36.6,0.043909
36.8,0.041551
37.0,0.041808
37.2,0.041053
37.4,0.041936
37.6,0.042362
37.8,0.044237
38.0,0.042761
38.2,0.042579
38.4,0.0422
38.6,0.042354
38.8,0.041648
39.0,0.043121
39.2,0.044195
39.4,0.044123
39.6,0.044407
39.8,0.045517
40.0,0.045116
40.2,0.045469
40.4,0.046452
40.6,0.045838
