Time (s),Binding (nm)
0.0,0.0
0.2,0.002665
0.4,0.005812
0.6,0.001767
0.8,0.004172
1.0,0.006431
1.2,0.006024
1.4,0.006103
1.6,0.008135
1.8,0.007348
2.0,0.006737
2.2,0.008989
2.4,0.008563
2.6,0.007343
2.8,0.00891
3.0,0.009334
3.2,0.008867
3.4,0.010384
3.6,0.012069
3.8,0.011318
4.0,0.01195
4.2,0.012125
4.4,0.012873
4.6,0.012051
4.8,0.012654
5.0,0.01222
5.2,0.01282
5.4,0.012493
5.6,0.012771
5.8,0.012951
6.0,0.012482
6.2,0.011792
6.4,0.012093
6.6,0.012476
6.8,0.012972
7.0,0.013874
7.2,0.014988
7.4,0.014783
7.6,0.015695
7.8,0.015868
8.0,0.016285
8.2,0.015939
8.4,0.015791
8.6,0.015459
8.8,0.015091
9.0,0.0145
9.2,0.014701
9.4,0.014297
9.6,0.014451
9.8,0.013799
10.0,0.014757
10.2,0.01473
10.4,0.014771
10.6,0.015036
10.8,0.015638
11.0,0.01564
11.2,0.01482
11.4,0.014768
11.6,0.015059
11.8,0.015294
12.0,0.015358
12.2,0.016564
12.4,0.017783
12.6,0.018035
12.8,0.018743
13.0,0.018417
13.2,0.017988
13.4,0.017599
13.6,0.017635
13.8,0.017927
14.0,0.018558
14.2,0.018667
14.4,0.019227
14.6,0.018585
14.8,0.017274
15.0,0.017878
15.2,0.018586
15.4,0.018728
15.6,0.01888
15.8,0.020172
16.0,0.018533
16.2,0.018628
16.4,0.018474
16.6,0.018966
16.8,0.019288
17.0,0.019963
17.2,0.019979
17.4,0.018837
17.6,0.019745
17.8,0.018166
18.0,0.018215
18.2,0.017723
18.4,0.019107
18.6,0.018304
18.8,0.01935
19.0,0.019429
19.2,0.019865
19.4,0.020125
19.6,0.020145
19.8,0.020689
20.0,0.021316
20.2,0.021164
20.4,0.020905
20.6,0.021601
20.8,0.020831
21.0,0.020838
21.2,0.02089
21.4,0.020899
21.6,0.018898
21.8,0.018114
22.0,0.01857
22.2,0.017824
22.4,0.018351
22.6,0.019595
22.8,0.02149
23.0,0.021264
23.2,0.022255
23.4,0.021796
23.6,0.021881
23.8,0.021772
24.0,0.023098
24.2,0.022718
24.4,0.022538
24.6,0.023867
24.8,0.023338
25.0,0.02117
25.2,0.022443
25.4,0.022447
25.6,0.021868
25.8,0.023276
26.0,0.024559
26.2,0.024333
26.4,0.024506
26.6,0.023595
26.8,0.022807
27.0,0.022776
27.2,0.022047
27.4,0.021669
27.6,0.022745
27.8,0.022557
28.0,0.022131
28.2,0.022699
28.4,0.023704
28.6,0.023305
28.8,0.023147
29.0,0.024279
29.2,0.023839
29.4,0.023469
29.6,0.022451
29.8,0.022808
30.0,0.020586
30.2,0.021725
30.4,0.022325
30.6,0.023516
30.8,0.023874
31.0,0.02544
31.2,0.024455
31.4,0.024643
31.6,0.02531
31.8,0.025033
32.0,0.024831
32.2,0.024931
32.4,0.024285
32.6,0.023128
32.8,0.022277
33.0,0.023146
33.2,0.023146
33.4,0.023271
33.6,0.024395
33.8,0.024445
34.0,0.022773
34.2,0.024169
34.4,0.02472
34.6,0.023326
34.8,0.023758
35.0,0.024782
35.2,0.022946
35.4,0.022459
35.6,0.023875
35.8,0.02496
36.0,0.02458
36.2,0.025687
36.4,0.026672
36.6,0.025954
36.8,0.025497
37.0,0.026746
37.2,0.026894
37.4,0.026832
37.6,0.027989
37.8,0.027643
38.0,0.027355
38.2,0.027474
38.4,0.027173
38.6,0.026661
38.8,0.026355
39.0,0.025254
39.2,0.024826
39.4,0.024571
39.6,0.024268
39.8,0.025788
40.0,0.02683
40.2,0.027848
40.4,0.028478
40.6,0.027595
40.8,0.026927
41.0,0.026253
41.2,0.02585
41.4,0.025578
41.6,0.026716
41.8,0.02664
42.0,0.026797
42.2,0.025863
42.4,0.027
42.6,0.026959
42.8,0.026997
43.0,0.027519
43.2,0.028278
43.4,0.028171
43.6,0.028401
43.8,0.028293
44.0,0.029039
44.2,0.02943
44.4,0.028491
44.6,0.028411
44.8,0.028096
45.0,0.027047
45.2,0.026838
45.4,0.026357
45.6,0.026752
45.8,0.028071
46.0,0.028197
46.2,0.027393
46.4,0.027824
46.6,0.027931
46.8,0.027646
47.0,0.028338
47.2,0.028509
47.4,0.02856
47.6,0.027655
47.8,0.027819
48.0,0.027967
48.2,0.028336
48.4,0.028976
48.6,0.030258
48.8,0.029368
49.0,0.02812
49.2,0.028887
49.4,0.028898
49.6,0.028088
49.8,0.028789
50.0,0.029438
50.2,0.028953
50.4,0.029037
50.6,0.029464
50.8,0.028949
51.0,0.029251
51.2,0.028895
51.4,0.029707
51.6,0.029351
51.8,0.030086
52.0,0.0304399
52.2,0.0308575
52.4,0.030057
52.6,0.0310969
52.8,0.030065
53.0,0.030193
53.2,0.029605
53.4,0.028986
53.6,0.029015
53.8,0.029105
54.0,0.028787
54.2,0.028538
54.4,0.029255
54.6,0.027681
54.8,0.02856
55.0,0.028735
55.2,0.029517
55.4,0.029254
55.6,0.030004
55.8,0.029667
56.0,0.028726
56.2,0.028725
56.4,0.028891
56.6,0.029469
56.8,0.029731
57.0,0.0310604
57.2,0.0308686
57.4,0.0314361
57.6,0.0307313
57.8,0.030943
58.0,0.0308977
58.2,0.0304662
58.4,0.0306721
58.6,0.0304993
58.8,0.030033
59.0,0.02967
59.2,0.029989
59.4,0.029527
59.6,0.030162
59.8,0.0303773
60.0,0.029983
60.2,0.030157
60.4,0.030067
60.6,0.028751
60.8,0.02865
61.0,0.028846
61.2,0.028852
61.4,0.028227
61.6,0.030136
61.8,0.03051
62.0,0.0303686
62.2,0.0307603
62.4,0.0322983
62.6,0.0322159
62.8,0.0324094
63.0,0.0322856
63.2,0.0329545
63.4,0.0315114
63.6,0.0315401
63.8,0.0309466
64.0,0.0318438
64.2,0.0311453
64.4,0.0313514
64.6,0.0315934
64.8,0.0324452
65.0,0.0327136
65.2,0.0332169
65.4,0.0332538
65.6,0.0327323
65.8,0.0316125
66.0,0.0318223
66.2,0.0322162
66.4,0.0325558
66.6,0.0326482
66.8,0.0329752
67.0,0.032555
67.2,0.0313065
67.4,0.0306386
67.6,0.0309183
67.8,0.0309343
68.0,0.0303052
68.2,0.030753
68.4,0.0323172
68.6,0.032072
68.8,0.0314815
69.0,0.0319577
69.2,0.0312969
69.4,0.0305214
69.6,0.029819
69.8,0.0307543
70.0,0.029732
70.2,0.02959
70.4,0.029306
70.6,0.029343
70.8,0.029441
71.0,0.03016
71.2,0.0312098
71.4,0.0320939
71.6,0.0327217
71.8,0.0323599
72.0,0.0324687
72.2,0.0332653
72.4,0.0326865
72.6,0.033478
72.8,0.0341945
73.0,0.0350914
73.2,0.033941
73.4,0.0332407
73.6,0.032477
73.8,0.0321868
74.0,0.0312268
74.2,0.0314559
74.4,0.0317036
74.6,0.0313311
74.8,0.0320203
75.0,0.0329095
75.2,0.0335665
75.4,0.0335508
75.6,0.0337968
75.8,0.0334929
76.0,0.0331186
76.2,0.0327099
76.4,0.0337819
76.6,0.0341054
76.8,0.0340296
77.0,0.034084
77.2,0.033574
77.4,0.0328286
77.6,0.0331589
77.8,0.0339766
78.0,0.0327224
78.2,0.0327372
78.4,0.0334751
78.6,0.033139
78.8,0.031952
79.0,0.0330418
79.2,0.0343532
79.4,0.0334464
79.6,0.0339543
79.8,0.0349387
80.0,0.0350353
80.2,0.0345528
80.4,0.0355757
80.6,0.0344886
80.8,0.0334927
81.0,0.0330564
81.2,0.033171
81.4,0.0327469
81.6,0.033721
81.8,0.0334989
82.0,0.0342033
82.2,0.0346206
82.4,0.0348659
82.6,0.0348607
82.8,0.0362816
83.0,0.0356048
83.2,0.035757
83.4,0.0358653
83.6,0.0356149
83.8,0.0350888
84.0,0.0355475
84.2,0.0341305
84.4,0.0338688
84.6,0.0339917
84.8,0.0341451
85.0,0.0350494
85.2,0.0362649
85.4,0.0361107
85.6,0.0362946
85.8,0.0354722
86.0,0.0342362
86.2,0.0331877
86.4,0.0334264
86.6,0.0334272
86.8,0.0342732
87.0,0.0354285
87.2,0.0354175
87.4,0.0363819
87.6,0.0362244
87.8,0.0369421
88.0,0.0364729
88.2,0.0377595
88.4,0.0374618
88.6,0.0380081
88.8,0.0378559
89.0,0.0374721
89.2,0.0369725
89.4,0.0374187
89.6,0.0375654
89.8,0.0368251
90.0,0.0367865
90.2,0.0364323
90.4,0.0353761
90.6,0.0343854
90.8,0.0341389
91.0,0.0336497
91.2,0.0348285
91.4,0.0352624
91.6,0.0355747
91.8,0.0363004
92.0,0.0372901
92.2,0.0364914
92.4,0.0369525
92.6,0.0378634
92.8,0.0377241
93.0,0.0374084
93.2,0.0376201
93.4,0.0376308
93.6,0.0367369
93.8,0.0371703
94.0,0.0375794
94.2,0.038797
94.4,0.0383112
94.6,0.0388225
94.8,0.0382976
95.0,0.0389474
95.2,0.0369591
95.4,0.0363077
95.6,0.0361893
95.8,0.0366691
96.0,0.0360005
96.2,0.0369545
96.4,0.0377661
96.6,0.0376351
96.8,0.0363012
97.0,0.0363895
97.2,0.0366624
97.4,0.0369303
97.6,0.0365901
97.8,0.0375197
98.0,0.0376218
98.2,0.0376608
98.4,0.0370237
98.6,0.0377875
98.8,0.0383256
99.0,0.0382861
99.2,0.0382206
99.4,0.0387961
99.6,0.038697
99.8,0.0383527
100.0,0.0380043
100.2,0.0372769
100.4,0.0367925
100.6,0.0373326
100.8,0.0377553
101.0,0.0389893
101.2,0.0385125
101.4,0.0391254
101.6,0.0383885
101.8,0.0368012
102.0,0.036238
102.2,0.0375059
102.4,0.0368365
102.6,0.0377314
102.8,0.0392907
103.0,0.0389954
103.2,0.038714
103.4,0.0399555
103.6,0.0402173
103.8,0.0400451
104.0,0.0404002
104.2,0.0405611
104.4,0.0408485
104.6,0.0394688
104.8,0.0389413
105.0,0.0401103
105.2,0.0389441
105.4,0.0385591
105.6,0.0398258
105.8,0.040908
106.0,0.0389857
106.2,0.0412259
106.4,0.0409191
106.6,0.0403397
106.8,0.0411725
107.0,0.0418234
107.2,0.0402581
107.4,0.0430256
107.6,0.0426545
107.8,0.041546
108.0,0.0412476
108.2,0.0416697
108.4,0.0387678
108.6,0.0390005
108.8,0.0380635
109.0,0.0389818
109.2,0.0391755
109.4,0.0390253
109.6,0.0389233
109.8,0.0401114
110.0,0.0386612
110.2,0.0380848
110.4,0.0384093
110.6,0.0383316
110.8,0.0383223
111.0,0.0390278
111.2,0.0386166
111.4,0.0394757
111.6,0.0394014
111.8,0.039166
112.0,0.0393589
112.2,0.0404576
112.4,0.0394945
112.6,0.0394073
112.8,0.0386964
113.0,0.0392104
113.2,0.0392697
113.4,0.0389391
113.6,0.0396035
113.8,0.0400654
114.0,0.0394914
114.2,0.0395795
114.4,0.0400001
114.6,0.040022
114.8,0.0410582
115.0,0.0410304
115.2,0.041354
115.4,0.0417562
115.6,0.0420924
115.8,0.0412099
116.0,0.0410614
116.2,0.0402385
116.4,0.0403125
116.6,0.0394548
116.8,0.0394349
117.0,0.0400825
117.2,0.0411426
117.4,0.040591
117.6,0.0410781
117.8,0.0414881
118.0,0.0418848
118.2,0.0409392
118.4,0.0411083
118.6,0.0413272
118.8,0.0418324
119.0,0.041031
119.2,0.0415653
119.4,0.0417295
119.6,0.0425083
